G_tot,gamma,DCaT,Rf,gam_in,gam_out,sigma2,r0,r1,w01,w10
5.75616e-05,778.073,1.26395e-05,5.28484,5.71985,5.53862,0.00380242,0.0563732,1.0903,0.109249,0.0675823
5.75616e-05,748.219,1.26395e-05,5.10615,5.72242,5.39972,0.00407429,0.0252334,1.0552,0.0830795,0.0767249
5.59154e-05,751.43,1.25942e-05,5.15635,6.1517,5.64814,0.00383501,0.0345461,1.87736,0.070661,0.134433
5.59712e-05,715.291,1.26373e-05,5.15635,5.97083,5.64814,0.00388746,0.0511607,1.71581,0.0920543,0.100138
5.53088e-05,715.291,1.27275e-05,5.15635,5.81059,5.65277,0.00392871,0.0292973,1.39376,0.081472,0.0893833
5.68174e-05,702.698,1.25603e-05,5.15635,5.60279,5.65277,0.00371653,0.0294582,0.999647,0.1334,0.122307
5.6106e-05,702.698,1.2123e-05,5.15635,5.92197,5.70593,0.0038845,0.0306956,1.52089,0.104604,0.165856
5.45471e-05,676.167,1.21237e-05,5.15635,5.80309,5.62769,0.00382162,0.103729,1.53319,0.107014,0.131562
5.45471e-05,669.205,1.21237e-05,5.19581,5.84733,5.62769,0.00385753,0.0393257,1.12708,0.152918,0.14652
5.37775e-05,669.092,1.21274e-05,5.07185,5.66117,5.34774,0.00375346,0.048046,1.66732,0.11107,0.125944
5.37775e-05,669.092,1.21594e-05,5.26768,5.76859,5.12936,0.00379232,0.0530919,1.47215,0.0917137,0.116501
5.04849e-05,700.895,1.21594e-05,5.18345,5.81677,5.03092,0.00401637,0.0181672,1.73076,0.101342,0.0953191
4.97275e-05,700.895,1.24019e-05,5.18345,5.64721,5.21476,0.00396208,0.00431035,2.73656,0.158787,0.0802358
4.95947e-05,700.895,1.24019e-05,5.07083,5.71829,5.43926,0.00398079,0.0237592,1.7778,0.101372,0.088221
5.03009e-05,693.639,1.24019e-05,5.07083,5.49549,5.39842,0.00394822,0.00823531,1.59387,0.122487,0.099126
5.16053e-05,693.975,1.25402e-05,5.07083,5.283,5.53614,0.00391218,0.00177304,1.10434,0.1054,0.0841668
5.03851e-05,693.975,1.22651e-05,5.01114,5.38688,5.53614,0.00415073,0.00645617,0.846434,0.115868,0.121979
5.05101e-05,676.298,1.22651e-05,5.01114,5.12633,5.55541,0.00387931,0.0630732,2.1604,0.0544873,0.0783264
5.05101e-05,681.584,1.21338e-05,5.01114,5.3965,5.55541,0.00371375,0.0136085,1.4376,0.114503,0.0933074
5.05101e-05,660.26,1.18167e-05,5.03027,5.3965,5.60008,0.00394789,0.0125909,1.22685,0.0507414,0.089473
5.23877e-05,652.311,1.18167e-05,5.12981,5.35878,5.58697,0.00407131,0.0199511,1.36923,0.101069,0.119198
5.23877e-05,652.311,1.21944e-05,4.72645,5.25263,5.7719,0.00382305,0.0538701,1.15613,0.129338,0.135931
5.23877e-05,625.166,1.22548e-05,4.72645,5.259,5.7896,0.00395784,0.00129049,1.17217,0.118201,0.0992071
5.29625e-05,613.171,1.22548e-05,4.68835,5.36127,5.61635,0.00432311,0.0545852,1.59098,0.111352,0.0614496
5.29625e-05,608.257,1.22883e-05,4.76436,5.37897,5.61635,0.00379749,0.0702774,1.45102,0.0950406,0.0475268
5.29625e-05,608.257,1.22883e-05,4.78789,5.32778,5.44851,0.00390517,0.00158952,2.02726,0.0954615,0.100463
5.19309e-05,608.257,1.22883e-05,4.78789,5.01694,5.14927,0.00392686,0.00619537,1.36342,0.0938537,0.111862
5.27097e-05,601.673,1.22446e-05,4.78789,4.73211,5.02583,0.00415233,0.000397888,1.44419,0.071672,0.0696604
5.26153e-05,598.722,1.21847e-05,4.78789,5.20605,4.96402,0.00402797,0.0505073,2.05523,0.153671,0.0936323
5.42894e-05,598.722,1.21847e-05,4.78789,5.25931,4.92563,0.00371536,0.0732689,1.24242,0.0824491,0.128852
5.42894e-05,602.364,1.21847e-05,4.78789,4.9827,4.83131,0.00388718,0.0244654,1.37888,0.0965582,0.128975
5.24351e-05,604.108,1.2292e-05,4.78522,4.9827,4.76465,0.00370582,0.00500032,1.79286,0.108809,0.072302
4.98833e-05,623.125,1.18536e-05,4.83429,4.89074,5.03024,0.00385717,0.0320222,0.910798,0.0536005,0.134836
4.95479e-05,620.61,1.18536e-05,4.86189,4.78276,5.01739,0.00389564,0.00508849,1.14277,0.114845,0.0614723
4.93279e-05,620.61,1.19331e-05,4.90988,4.96187,5.01739,0.00380024,0.0931314,1.51094,0.0823679,0.135857
