G_tot,gamma,DCaT,Rf,gam_in,gam_out,sigma2,r0,r1,w01,w10
5.06383e-05,727.987,1.12857e-05,5.39463,3.99969,6.42,0.00394234,0.112724,1.29254,0.130278,0.130379
5.04299e-05,736.241,1.12857e-05,5.30332,3.8143,6.33953,0.00372325,0.0363664,1.44526,0.159432,0.0913937
5.04299e-05,736.241,1.14751e-05,5.4367,4.23856,6.38806,0.00392145,0.0230333,1.21821,0.0897543,0.0693024
5.0469e-05,736.241,1.12242e-05,5.4367,4.02589,6.01735,0.00386932,0.0185907,1.14238,0.130081,0.0802831
5.0469e-05,736.241,1.09689e-05,5.59564,4.11314,5.90603,0.00390601,0.0388345,1.22481,0.129301,0.149131
5.0469e-05,725.067,1.09689e-05,5.85436,4.11423,5.79609,0.00387282,0.00620535,1.15311,0.104716,0.0809227
5.11992e-05,725.067,1.09066e-05,5.73748,3.82544,5.65242,0.00407592,0.0310565,1.89971,0.105389,0.118807
5.20669e-05,726.212,1.09066e-05,5.55457,3.88752,5.67889,0.00386402,0.0686489,1.50782,0.0814949,0.152296
5.20669e-05,716.347,1.09231e-05,5.68964,3.90904,5.6543,0.00394013,0.0338417,1.71705,0.078989,0.0923182
5.01068e-05,720.575,1.09231e-05,5.68964,3.83079,5.83057,0.0040387,0.0129594,1.70314,0.112927,0.107139
4.98976e-05,741.579,1.09231e-05,5.67635,3.96794,5.83057,0.00397447,0.0519718,2.43988,0.156733,0.104202
5.00364e-05,741.579,1.09231e-05,5.67635,3.74627,6.11882,0.00367072,0.122391,1.95516,0.113233,0.109529
5.00364e-05,758.985,1.09231e-05,5.61818,3.62749,6.30962,0.00369544,0.00850518,2.1953,0.191185,0.168375
4.91578e-05,758.985,1.09231e-05,5.61818,3.62749,6.44887,0.00406885,0.0235012,1.87064,0.0973387,0.15391
4.91578e-05,748.108,1.09231e-05,5.54318,3.62749,6.43522,0.00376744,0.020682,1.68087,0.0974598,0.0653664
4.92691e-05,754.493,1.09231e-05,5.62716,3.82932,6.43522,0.00394886,0.00254636,1.65733,0.13557,0.0697353
4.90796e-05,727.594,1.09079e-05,5.62763,3.6705,7.03541,0.00385609,0.00413535,1.27617,0.109964,0.0344458
